"OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"Azure Stack HCI","","10 (20349)"
"Azure Stack HCI","","10.0 (20349)"
"CentOS","CentrifyDC 4.5.0-357:N:CDC","4.7 (Final)"
"CentOS","CentrifyDC 4.6.0-118:N:CDC","5.8 (Final)"
"CentOS","CentrifyDC 4.6.0-124:N:CDC","6"
"CentOS","CentrifyDC 5.1.3-482:W:CDC","6.1:6.2 (Final)"
"CentOS","CentrifyDC 5.3.1-398:E:CDC","6.1:7.2"
"CentOS","CentrifyDC 5.3.1-398:W:CDC","6.1:6.4"
"CentOS","CentrifyDC 5.3.1-398:W:CDC","6.1:7.5"
"CentOS","CentrifyDC 5.3.1-398:W:CDC","6.1:7.9"
"CentOS Linux","CentrifyDC 5.1.3-482:W:CDC","6.1:7.2.1511 (Core) "
"Cisco Identity Services Engine","","1.3.0.876"
"Cisco Identity Services Engine","","1.4.0.253"
"Cisco Identity Services Engine","","2.1.0.474"
"Cisco Identity Services Engine","","2.2.0.470"
"Cisco Identity Services Engine","","2.3.0.298"
"Cisco Identity Services Engine","","2.4.0.357"
"Cisco Identity Services Engine","","2.6.0.156"
"Cisco Identity Services Engine","","2.6.0.156"
"Cisco Identity Services Engine","","2.7.0.356"
"Cisco Identity Services Engine","","3.1.0.518"
"Cohesity","","6.3 (9600)"
"Debian","Likewise Identity 5.4.0.","5.0.4"
"Debian","PBIS Open 9.1.551.551.2a86f3462bd6c028323d76ae62a0a6ebbfa66bdc","10.2"
"EMC Celerra File Server","",""
"EMC File Server","",""
"EnterpriseEnterpriseServer","CentrifyDC 5.0.2-388:W:CDC","5.5 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.0.2-388:W:CDC","5.8 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:E:CDC","5.11 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","5.11 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","5.4 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","5.5 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","5.7 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.0-497:W:CDC","5.9 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.2-378:W:CDC","5.11 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.2-378:W:CDC","5.5 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.2-378:W:CDC","5.8 (Carthage)"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6"
"EnterpriseEnterpriseServer","CentrifyDC 5.1.3-482:W:CDC","6.1:5.11 (Carthage)"
"GNU/Linux","","Linux 5.10.0-9-amd64 #1 SMP Debian 5.10.70-1 (2021-09-30)"
"GNU/Linux","","Linux 5.4.0-70-generic #78-Ubuntu SMP Fri Mar 19 13:29:52 UTC 2021"
"HDS NAS OS","","13.3.4633.02"
"Hyper-V Server","","10.0 (17763)"
"Hyper-V Server","","6.1 (7600)"
"Hyper-V Server 2012 R2","","6.3 (9600)"
"Junos Pulse Access Control Service","Samba 3.5.14","4.4.0-20957(2002)"
"Junos Pulse Access Control Service","Samba 3.5.21","5.0.3-25137(2101)"
"Linux","",""
"Linux","#1 SMP Thu Jun 22 11:57:10 MDT 2017","2.6.32-573.26.1.el6.hpsp.centos.43217.x86_64"
"Linux","#1 SMP Wed Oct 11 21:05:23 MDT 2017","2.6.32-573.26.1.el6.hpsp.centos.45915.x86_64"
"Linux","CentrifyDC 4.3.0-192:N:CDC","2.6.18.8-ADEVM"
"Linux","CentrifyDC 4.5.0-357:N:CDC","2.6.18.8-ADE"
"Linux","CentrifyDC 4.6.0-113:N:CDC","2.6.18-348.4.1.el5"
"Linux","CentrifyDC 4.6.0-114:N:CDC","2.6.18-274.17.1.el5PAE"
"Linux","CentrifyDC 4.6.0-118:N:CDC","2.6.18-308.el5PAE"
"Linux","CentrifyDC 4.6.0-121:N:CDC","6"
"Linux","CentrifyDC 4.6.0-124:N:CDC","2.6.18-308.el5PAE"
"Linux","CentrifyDC 4.6.0-124:N:CDC","6"
"Linux","CentrifyDC 5.1.0-497:W:CDC","2.6.32-754.11.1.el6.x86_64"
"Linux","CentrifyDC 5.1.0-497:W:CDC","2.6.32-754.el6.x86_64"
"Mac OS X","","10.1"
"Mac OS X","","10.10 (1021)"
"Mac OS X","","10.10 (109)"
"Mac OS X","","10.10 (136)"
"Mac OS X","","10.10 (1605)"
"Mac OS X","","10.10 (1909)"
"Mac OS X","","10.10 (1912)"
"Mac OS X","","10.10 (2109)"
"Mac OS X","","10.10 (25)"
"Mac OS X","","10.10 (2511)"
"Mac OS X","","10.10 (46)"
"Mac OS X","","10.10 (7)"
"Mac OS X","","10.10.1"
"Mac OS X","","10.10.2"
"Mac OS X","","10.10.3"
"Mac OS X","","10.10.4"
"Mac OS X","","10.10.5"
"Mac OS X","","10.11"
"Mac OS X","","10.11 (1004)"
"Mac OS X","","10.11 (1108)"
"Mac OS X","","10.11 (1421)"
"Mac OS X","","10.11 (1510)"
"Mac OS X","","10.11 (21)"
"Mac OS X","","10.11 (22010)"
"Mac OS X","","10.11 (31)"
"Mac OS X","","10.11 (50)"
"Mac OS X","","10.11.1"
"Mac OS X","","10.11.2"
"Mac OS X","","10.11.3"
"Mac OS X","","10.11.4"
"Mac OS X","","10.11.5"
"Mac OS X","","10.11.6"
"Mac OS X","","10.12"
"Mac OS X","","10.12 (1036)"
"Mac OS X","","10.12 (1114)"
"Mac OS X","","10.12 (1212)"
"Mac OS X","","10.12 (1408)"
"Mac OS X","","10.12 (1510)"
"Mac OS X","","10.12 (2136)"
"Mac OS X","","10.12 (2555)"
"Mac OS X","","10.12 (2657)"
"Mac OS X","","10.12 (29)"
"Mac OS X","","10.12 (30)"
"Mac OS X","","10.12 (32)"
"Mac OS X","","10.12 (323)"
"Mac OS X","","10.12 (67)"
"Mac OS X","","10.12 (68)"
"Mac OS X","","10.12 (73)"
"Mac OS X","","10.12.1"
"Mac OS X","","10.12.2"
"Mac OS X","","10.12.3"
"Mac OS X","","10.12.4"
"Mac OS X","","10.12.5"
"Mac OS X","","10.12.6"
"Mac OS X","","10.13"
"Mac OS X","","10.13 (10021)"
"Mac OS X","","10.13 (1003)"
"Mac OS X","","10.13 (102)"
"Mac OS X","","10.13 (13035)"
"Mac OS X","","10.13 (14042)"
"Mac OS X","","10.13 (199)"
"Mac OS X","","10.13 (202)"
"Mac OS X","","10.13 (205)"
"Mac OS X","","10.13 (2112)"
"Mac OS X","","10.13 (3025)"
"Mac OS X","","10.13 (4015)"
"Mac OS X","","10.13 (47)"
"Mac OS X","","10.13 (65)"
"Mac OS X","","10.13 (66)"
"Mac OS X","","10.13 (7024)"
"Mac OS X","","10.13 (9016)"
"Mac OS X","","10.13.1"
"Mac OS X","","10.13.2"
"Mac OS X","","10.13.3"
"Mac OS X","","10.13.4"
"Mac OS X","","10.13.5"
"Mac OS X","","10.13.6"
"Mac OS X","","10.14"
"Mac OS X","","10.14 (1012)"
"Mac OS X","","10.14 (103)"
"Mac OS X","","10.14 (109)"
"Mac OS X","","10.14 (132)"
"Mac OS X","","10.14 (226)"
"Mac OS X","","10.14 (3020)"
"Mac OS X","","10.14 (391)"
"Mac OS X","","10.14 (42)"
"Mac OS X","","10.14 (5033)"
"Mac OS X","","10.14 (6032)"
"Mac OS X","","10.14 (75)"
"Mac OS X","","10.14 (84)"
"Mac OS X","","10.14 (87)"
"Mac OS X","","10.14 (9216)"
"Mac OS X","","10.14 (9323)"
"Mac OS X","","10.14.1"
"Mac OS X","","10.14.2"
"Mac OS X","","10.14.3"
"Mac OS X","","10.14.4"
"Mac OS X","","10.14.5"
"Mac OS X","","10.14.6"
"Mac OS X","","10.15"
"Mac OS X","","10.15 (101)"
"Mac OS X","","10.15 (114)"
"Mac OS X","","10.15 (15)"
"Mac OS X","","10.15 (1824)"
"Mac OS X","","10.15 (2)"
"Mac OS X","","10.15 (2021)"
"Mac OS X","","10.15 (524)"
"Mac OS X","","10.15 (57)"
"Mac OS X","","10.15 (73)"
"Mac OS X","","10.15 (76)"
"Mac OS X","","10.15 (88)"
"Mac OS X","","10.15.1"
"Mac OS X","","10.15.2"
"Mac OS X","","10.15.3"
"Mac OS X","","10.15.4"
"Mac OS X","","10.15.5"
"Mac OS X","","10.15.6"
"Mac OS X","","10.15.7"
"Mac OS X","","10.7"
"Mac OS X","","10.7 (50)"
"Mac OS X","","10.7.2"
"Mac OS X","","10.7.3"
"Mac OS X","","10.7.5"
"Mac OS X","","10.8"
"Mac OS X","","10.8 (2560)"
"Mac OS X","","10.8 (45)"
"Mac OS X","","10.8 (78)"
"Mac OS X","","10.8.2"
"Mac OS X","","10.8.3"
"Mac OS X","","10.8.4"
"Mac OS X","","10.8.5"
"Mac OS X","","10.9"
"Mac OS X","","10.9 (1021)"
"Mac OS X","","10.9 (1066)"
"Mac OS X","","10.9 (1077)"
"Mac OS X","","10.9 (1096)"
"Mac OS X","","10.9 (1112)"
"Mac OS X","","10.9 (1134)"
"Mac OS X","","10.9 (1507)"
"Mac OS X","","10.9 (1712)"
"Mac OS X","","10.9 (1808)"
"Mac OS X","","10.9 (1911)"
"Mac OS X","","10.9 (28)"
"Mac OS X","","10.9 (34)"
"Mac OS X","","10.9.1"
"Mac OS X","","10.9.2"
"Mac OS X","","10.9.3"
"Mac OS X","","10.9.4"
"Mac OS X","","10.9.5"
"macOS","","11.0 (50)"
"macOS","","11.0.1"
"macOS","","11.1"
"macOS","","11.2"
"macOS","","11.2 (64)"
"macOS","","11.2 (80)"
"macOS","","11.2 (91)"
"macOS","","11.2.1"
"macOS","","11.2.2"
"macOS","","11.2.3"
"macOS","","11.3"
"macOS","","11.3 (232)"
"macOS","","11.3 (241)"
"macOS","","11.3.1"
"macOS","","11.4"
"macOS","","11.4 (71)"
"macOS","","11.5"
"macOS","","11.5 (80)"
"macOS","","11.5 (95)"
"macOS","","11.5.1"
"macOS","","11.5.2"
"macOS","","11.6"
"macOS","","11.6 (165)"
"macOS","","11.6 (224)"
"macOS","","11.6 (314)"
"macOS","","11.6 (527)"
"macOS","","11.6.1"
"macOS","","11.6.2"
"macOS","","11.6.5"
"macOS","","11.6.8"
"macOS","","11.7 (817)"
"macOS","","11.7.1"
"macOS","","12"
"macOS","","12.0 (559)"
"macOS","","12.0.1"
"macOS","","12.1"
"macOS","","12.1 (52)"
"macOS","","12.2"
"macOS","","12.2 (62)"
"macOS","","12.2.1"
"macOS","","12.3"
"macOS","","12.3 (230)"
"macOS","","12.3 (258)"
"macOS","","12.3.1"
"macOS","","12.4"
"macOS","","12.4 (79)"
"macOS","","12.5"
"macOS","","12.5 (72)"
"macOS","","12.5 (83)"
"macOS","","12.5.1"
"macOS","","12.6"
"macOS","","12.6 (115)"
"macOS","","12.6 (419)"
"macOS","","12.6 (526)"
"macOS","","12.6.1"
"macOS","","12.6.2"
"macOS","","12.6.3"
"macOS","","13"
"macOS","","13.0 (380)"
"macOS","","13.0 (400)"
"macOS","","13.0 (5295)"
"macOS","","13.0 (8380)"
"macOS","","13.0.1"
"macOS","","13.1"
"macOS","","13.1 (65)"
"macOS","","13.2"
"macOS","","13.2 (49)"
"macOS","","13.2 (68)"
"macOS","","13.2.1"
"macOS","","13.3"
"macOS","","13.3 (252)"
"macOS","","13.3.1"
"NetApp Release 8.3","",""
"NetApp Release 8.3.1P1","",""
"NetApp Release 8.3.1P2","",""
"NetApp Release 8.3.2","",""
